,School District,Project Description, Project Amount ,Election,Yes,No,PASS/FAIL,,
,q2,performing arts center addition," $7,150,000 ",Nov. 7,829,565,PASS,,
46,Maple Lake,technology," $950,000 ",Nov. 7,515,370,PASS,,
47,Maple River,new NK-12 school," $54,800,000 ",Nov. 7,980,1169,Fail,,
48,Menahga,"high school addition, kitchen and lunch room, updating gymnasium and lockers"," $9,900,000 ",Nov. 7,710,503,PASS,,
,q2,adding a second floor to the high school addition," $4,100,000 ",Nov. 7,623,579,PASS,,
,q3,"space for adaptive phy ed, expanded gym and performance space, lab for robotics, fitness center and office"," $5,000,000 ",Nov. 7,559,632,Fail,,
49,Mesabi East,"upgrades, new physical education and athletic areas"," $9,745,000 ",Nov. 7,1360,951,PASS,,
50,Mora,"addition, wellness center"," $3,400,000 ",Nov. 7,960,874,PASS,,
51,Morris Area,"maintenance, updates, renovations"," $19,200,000 ",Nov. 7,906,241,PASS,,
52,Mounds View,"renovations, additions"," $164,000,000 ",Nov. 7,"10,129","3,689",PASS,,
53,Northfield,"new elementary school, new high school, renovations & additions"," $109,000,000 ",Nov. 7,3467,4436,Fail,,
54,Ortonville,"capital project levy for technology 150,000/year for 10 years"," $1,500,000 ",Nov. 7,496,304,PASS,,
55,Pillager,"elementary and early ed additions, auditorium, music and special ed classrooms"," $13,000,000 ",Nov. 7,430,679,Fail,,
56,Prior Lake,"additions, renovations, new elementary school and learning center"," $109,300,000 ",Nov. 7,"7,232","4,403",PASS,,
57,Richfield,"maintenance, renovations"," $86,800,000 ",Nov. 7,3776,1235,PASS,,
58,Rockford Area q 2,"capital projects levy for technology 399,500/year for 10 years"," $3,995,000 ",Nov. 7,1048,1290,Fail,,
59,ROCORI,tech levy,,Nov. 7,870,789,PASS,,
60,Roseville,"repair, upgrades, additions to all buildings"," $144,000,000 ",Nov 7,"6,815","2,361",PASS,,
61,South St. Paul,"renewal of capital projects levy for technology   $676,000/year for 10 years"," $6,760,950 ",Nov. 7,1980,793,PASS,,
62,South Washington County,capital projects levy for technology: $2 million/year for 10 years," $20,000,000 ",Nov. 7,6639,"6,259",PASS,,
63,St. Francis,"additions, site work, maintenance, renovations"," $80,060,000 ",Nov. 7,"2,574","2,346",PASS,,
64,St. Louis Park,"renovations, additions, maintenance"," $100,900,000 ",Nov. 7,"6,609","1,166",PASS,,
65,Wadena  q2,"maintenance, renovations, upgrades to auditorium"," $5,300,000 ",Nov. 7,633,378,PASS,,
66,Wayzata,"new elementary school, safety, additions, renovations"," $70,000,000 ",Nov 7,4989,1479,PASS,,
,Q.3,tech levy renewal of $4 million/year," $40,000,000 ",Nov 7,5111,1357,PASS,,
67,Winona Area,"vote to close two elementaries, put additions onto other elementaries"," $82,375,000 ",Nov 7,608,"5,728",Fail,,
,,,,,,,,,
1,Worthington,"additions, renovations"," $68,200,000 ",February 2018,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
